Ano;Marcador;Órgão;Unidade Orçamentária;Programa;Ação;Localizador;Plano Orçamentário;Esfera;Função;Subfunção;IDUso;Fonte;Grupo Despesa;Modalidade;Natureza Despesa;Resultado Primário;Tipo Crédito;Ano Referência;Dotação Inicial;Dotação Atual;Empenhado;Liquidado;Pago;Bloqueado
2024;Enfrentamento à Calamidade Pública no RS (Programações de Medidas Provisórias);22000 - Ministério da Agricultura e Pecuária;22101 - Ministério da Agricultura e Pecuária - Administração Direta;1144 - Agropecuária Sustentável;0299 - Subvenção Econômica nas Aquisições do Governo Federal e na Formação de Estoques Reguladores e Estratégicos - AGF (Lei nº 8.427, de 1992);6502 - Nacional (Crédito Extraordinário - Calamidade Pública);CP10 - Calamidade Pública - Medida Provisória nº 1.218, de 11 de maio de 2024;10 - Orçamento Fiscal;20 - Agricultura;605 - Abastecimento;0 - Recursos não destinados à contrapartida ou à identificação de despesas com ações e serviços públicos de saúde, ou referentes à manutenção e ao desenvolvimento do ensino;3000 - Recursos Livres da União;3 - Outras Despesas Correntes;91 - Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos F/S;33910000 - Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos F/S;2 - Primária discricionária, considerada no cálculo do RP;G - Extraordinário;2024;0;100000000;0;0;0;0
2024;Enfrentamento à Calamidade Pública no RS (Programações de Medidas Provisórias);22000 - Ministério da Agricultura e Pecuária;22101 - Ministério da Agricultura e Pecuária - Administração Direta;1144 - Agropecuária Sustentável;0299 - Subvenção Econômica nas Aquisições do Governo Federal e na Formação de Estoques Reguladores e Estratégicos - AGF (Lei nº 8.427, de 1992);6502 - Nacional (Crédito Extraordinário - Calamidade Pública);CP20 - Calamidade Pública - Medida Provisória nº 1.225, de 24 de maio de 2024;10 - Orçamento Fiscal;20 - Agricultura;605 - Abastecimento;0 - Recursos não destinados à contrapartida ou à identificação de despesas com ações e serviços públicos de saúde, ou referentes à manutenção e ao desenvolvimento do ensino;3000 - Recursos Livres da União;3 - Outras Despesas Correntes;91 - Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos F/S;33910000 - Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos F/S;2 - Primária discricionária, considerada no cálculo do RP;G - Extraordinário;2024;0;1920514000;0;0;0;0
2024;Enfrentamento à Calamidade Pública no RS (Programações de Medidas Provisórias);25000 - Ministério da Fazenda;25101 - Ministério da Fazenda - Administração Direta;0909 - Operações Especiais: Outros Encargos Especiais;00WE - Subvenção a Fundos de Financiamento de Projetos de Enfrentamento das Consequências Decorrentes de Eventos Climáticos Extremos e de Projetos de Adaptação às Mudanças Climáticas e Mitigação dos seus Efeitos (MP nº 1.216, de 2024);6500 - No Estado do Rio Grande do Sul (Crédito Extraordinário - Calamidade Pública);CP20 - Calamidade Pública - Medida Provisória nº 1.233, de 17 de junho de 2024;10 - Orçamento Fiscal;28 - Encargos Especiais;846 - Outros Encargos Especiais;0 - Recursos não destinados à contrapartida ou à identificação de despesas com ações e serviços públicos de saúde, ou referentes à manutenção e ao desenvolvimento do ensino;3000 - Recursos Livres da União;3 - Outras Despesas Correntes;90 - Aplicações Diretas;33900000 - Aplicações Diretas;2 - Primária discricionária, considerada no cálculo do RP;G - Extraordinário;2024;0;200000000;0;0;0;0
2024;Enfrentamento à Calamidade Pública no RS (Programações de Medidas Provisórias);26000 - Ministério da Educação;26244 - Universidade Federal do Rio Grande do Sul;5113 - Educação Superior: Qualidade, Democracia, Equidade e Sustentabilidade;20RK - Funcionamento de Instituições Federais de Ensino Superior;6502 - No Estado do Rio Grande do Sul (Crédito Extraordinário - Calamidade Pública);CP20 - Calamidade Pública - Medida Provisória nº 1.223, de 23 de maio de 2024;10 - Orçamento Fiscal;12 - Educação;364 - Ensino Superior;8 - Recursos para identificação das despesas com manutenção e desenvolvimento do ensino, conforme arts. 70 e 71 da Lei nº 9.394, de 20 de dezembro de 1996, no âmbito do Ministério da Educação;3008 - Educação Pública, com Prioridade para a Educação Básica;3 - Outras Despesas Correntes;90 - Aplicações Diretas;33900000 - Aplicações Diretas;2 - Primária discricionária, considerada no cálculo do RP;G - Extraordinário;2024;0;1550000;0;0;0;0
2024;Enfrentamento à Calamidade Pública no RS (Programações de Medidas Provisórias);26000 - Ministério da Educação;26244 - Universidade Federal do Rio Grande do Sul;5113 - Educação Superior: Qualidade, Democracia, Equidade e Sustentabilidade;20RK - Funcionamento de Instituições Federais de Ensino Superior;6502 - No Estado do Rio Grande do Sul (Crédito Extraordinário - Calamidade Pública);CP20 - Calamidade Pública - Medida Provisória nº 1.223, de 23 de maio de 2024;10 - Orçamento Fiscal;12 - Educação;364 - Ensino Superior;8 - Recursos para identificação das despesas com manutenção e desenvolvimento do ensino, conforme arts. 70 e 71 da Lei nº 9.394, de 20 de dezembro de 1996, no âmbito do Ministério da Educação;3008 - Educação Pública, com Prioridade para a Educação Básica;3 - Outras Despesas Correntes;90 - Aplicações Diretas;33901801 - BOLSAS DE ESTUDO NO PAIS;2 - Primária discricionária, considerada no cálculo do RP;G - Extraordinário;2024;0;0;1200232;0;0;0
2024;Enfrentamento à Calamidade Pública no RS (Programações de Medidas Provisórias);26000 - Ministério da Educação;26244 - Universidade Federal do Rio Grande do Sul;5113 - Educação Superior: Qualidade, Democracia, Equidade e Sustentabilidade;20RK - Funcionamento de Instituições Federais de Ensino Superior;6502 - No Estado do Rio Grande do Sul (Crédito Extraordinário - Calamidade Pública);CP20 - Calamidade Pública - Medida Provisória nº 1.223, de 23 de maio de 2024;10 - Orçamento Fiscal;12 - Educação;364 - Ensino Superior;8 - Recursos para identificação das despesas com manutenção e desenvolvimento do ensino, conforme arts. 70 e 71 da Lei nº 9.394, de 20 de dezembro de 1996, no âmbito do Ministério da Educação;3008 - Educação Pública, com Prioridade para a Educação Básica;3 - Outras Despesas Correntes;90 - Aplicações Diretas;33903702 - LIMPEZA E CONSERVACAO;2 - Primária discricionária, considerada no cálculo do RP;G - Extraordinário;2024;0;0;100000;0;0;0
2024;Enfrentamento à Calamidade Pública no RS (Programações de Medidas Provisórias);26000 - Ministério da Educação;26244 - Universidade Federal do Rio Grande do Sul;5113 - Educação Superior: Qualidade, Democracia, Equidade e Sustentabilidade;20RK - Funcionamento de Instituições Federais de Ensino Superior;6502 - No Estado do Rio Grande do Sul (Crédito Extraordinário - Calamidade Pública);CP20 - Calamidade Pública - Medida Provisória nº 1.223, de 23 de maio de 2024;10 - Orçamento Fiscal;12 - Educação;364 - Ensino Superior;8 - Recursos para identificação das despesas com manutenção e desenvolvimento do ensino, conforme arts. 70 e 71 da Lei nº 9.394, de 20 de dezembro de 1996, no âmbito do Ministério da Educação;3008 - Educação Pública, com Prioridade para a Educação Básica;3 - Outras Despesas Correntes;90 - Aplicações Diretas;33903941 - FORNECIMENTO DE ALIMENTACAO;2 - Primária discricionária, considerada no cálculo do RP;G - Extraordinário;2024;0;0;249768;0;0;0
2024;Enfrentamento à Calamidade Pública no RS (Programações de Medidas Provisórias);26000 - Ministério da Educação;26247 - Universidade Federal de Santa Maria;5113 - Educação Superior: Qualidade, Democracia, Equidade e Sustentabilidade;8282 - Reestruturação e Modernização das Instituições Federais de Ensino Superior;6500 - No Estado do Rio Grande do Sul (Crédito Extraordinário - Calamidade Pública);CP20 - Calamidade Pública - Medida Provisória nº 1.223, de 23 de maio de 2024;10 - Orçamento Fiscal;12 - Educação;364 - Ensino Superior;8 - Recursos para identificação das despesas com manutenção e desenvolvimento do ensino, conforme arts. 70 e 71 da Lei nº 9.394, de 20 de dezembro de 1996, no âmbito do Ministério da Educação;3008 - Educação Pública, com Prioridade para a Educação Básica;4 - Investimentos;90 - Aplicações Diretas;44900000 - Aplicações Diretas;2 - Primária discricionária, considerada no cálculo do RP;G - Extraordinário;2024;0;8500000;0;0;0;0
2024;Enfrentamento à Calamidade Pública no RS (Programações de Medidas Provisórias);26000 - Ministério da Educação;26247 - Universidade Federal de Santa Maria;5113 - Educação Superior: Qualidade, Democracia, Equidade e Sustentabilidade;8282 - Reestruturação e Modernização das Instituições Federais de Ensino Superior;6500 - No Estado do Rio Grande do Sul (Crédito Extraordinário - Calamidade Pública);CP20 - Calamidade Pública - Medida Provisória nº 1.223, de 23 de maio de 2024;10 - Orçamento Fiscal;12 - Educação;364 - Ensino Superior;8 - Recursos para identificação das despesas com manutenção e desenvolvimento do ensino, conforme arts. 70 e 71 da Lei nº 9.394, de 20 de dezembro de 1996, no âmbito do Ministério da Educação;3008 - Educação Pública, com Prioridade para a Educação Básica;4 - Investimentos;90 - Aplicações Diretas;44905212 - APARELHOS E UTENSILIOS DOMESTICOS;2 - Primária discricionária, considerada no cálculo do RP;G - Extraordinário;2024;0;0;45500;0;0;0
2024;Enfrentamento à Calamidade Pública no RS (Programações de Medidas Provisórias);26000 - Ministério da Educação;26266 - Fundação Universidade Federal do Pampa;5113 - Educação Superior: Qualidade, Democracia, Equidade e Sustentabilidade;20RK - Funcionamento de Instituições Federais de Ensino Superior;6502 - No Estado do Rio Grande do Sul (Crédito Extraordinário - Calamidade Pública);CP20 - Calamidade Pública - Medida Provisória nº 1.223, de 23 de maio de 2024;10 - Orçamento Fiscal;12 - Educação;364 - Ensino Superior;8 - Recursos para identificação das despesas com manutenção e desenvolvimento do ensino, conforme arts. 70 e 71 da Lei nº 9.394, de 20 de dezembro de 1996, no âmbito do Ministério da Educação;3008 - Educação Pública, com Prioridade para a Educação Básica;3 - Outras Despesas Correntes;90 - Aplicações Diretas;33900000 - Aplicações Diretas;2 - Primária discricionária, considerada no cálculo do RP;G - Extraordinário;2024;0;880000;0;0;0;0
